"Dane pochodz¹ z serwisu Money.pl http://www.money.pl"
"Data","Otw","Min","Max","Zamkn","Zmn.[%]"
"2007-03-30","57561,35","57255,27","57759,4","57524,57","+0,42"
"2007-03-29","56429,44","56385,73","57347,18","57283,19","+1,77"
"2007-03-28","56476,96","56097,44","56573,87","56288,81","-0,63"
"2007-03-27","56979,37","56565,36","57090,25","56643,45","+0,32"
"2007-03-26","56992,57","56464,39","57186,84","56464,39","-0,83"
"2007-03-23","56285,08","56148,18","56936,49","56936,49","+1,1"
"2007-03-22","55974,53","55974,53","56719,49","56315,4","+1,96"
"2007-03-21","54588,91","54588,91","55326,24","55234,92","+1,28"
"2007-03-20","54596,08","54127,83","54596,08","54537,92","-0,1"
"2007-03-19","53955,84","53955,84","54591,45","54591,45","+1,7"
"2007-03-16","53193,44","53038,98","53927,5","53676,93","+0,88"
"2007-03-15","52815,06","52815,06","53282,55","53206,81","+0,63"
"2007-03-14","51725,52","51268,05","52881,33","52873,49","+0,25"
"2007-03-13","53057,89","52358,06","53333,83","52739,95","-0,59"
"2007-03-12","53309,68","52971,98","53642,34","53053,52","+0,27"
"2007-03-09","53005,46","52700,5","53487,95","52910,76","-0,28"
"2007-03-08","52097,28","52097,28","53070,27","53059,95","+3,2"
"2007-03-07","51672,02","51410,99","52123,56","51415,62","-0,13"
"2007-03-06","51100,68","50832,73","51501,47","51482,87","+1,45"
"2007-03-05","50903,86","49871,19","50903,86","50746,74","-2,25"
"2007-03-02","51808,13","51358,64","51971,13","51917,31","+0,8"
"2007-03-01","52301,34","51069,09","52719,06","51503,02","-0,77"
"2007-02-28","52102,47","51364,99","52385,85","51900,39","-1,9"
"2007-02-27","54767,2","52644,47","54767,2","52906,36","-4,4"
"2007-02-26","56008,43","55216,8","56029,11","55339,76","-0,65"
"2007-02-23","55526,22","55286,34","55840,19","55702,53","+0,11"
"2007-02-22","55232,49","55201,04","55767,47","55641,5","+1,5"
"2007-02-21","54678,98","54631,93","55090,09","54821,35","+1,01"
"2007-02-20","54809,08","54217,6","54867,98","54274,69","-0,8"
"2007-02-19","54056,94","54052,03","54792,84","54712,06","+1,63"
"2007-02-16","53902,9","53636,18","53957,96","53834,86","-0,11"
"2007-02-15","54509,78","53714,52","54542,27","53896,08","-0,46"
"2007-02-14","54360,1","53915,91","54455,39","54145,91","+0,42"
"2007-02-13","53077,41","53028,21","53986,67","53920,38","+1,85"
"2007-02-12","53433,49","52935,24","53471,43","52939,24","-1,65"
"2007-02-09","53538,6","53318,21","53871,1","53826,85","+0,58"
"2007-02-08","54675,95","53398,95","54786,42","53519","-2,87"
"2007-02-07","55386,93","54850,83","55426,19","55099,87","-0,25"
"2007-02-06","55474,34","55236,06","55701,4","55236,06","-0,22"
"2007-02-05","55330,34","55154,21","55402,29","55358,58","+0,08"
"2007-02-02","55501,04","55274,93","55644,43","55314,03","-0,21"
"2007-02-01","55004,58","54963,9","55558,13","55431,48","+1,6
"2007-01-31","53954,68","53913,54","54558,15","54558,15","+1,56"
"2007-01-30","53813,79","53339,03","53856,58","53717,9","-0,14"
"2007-01-29","53717,55","53633,95","53954,12","53792,04","+0,57"
"2007-01-26","52996,26","52713,49","53617,9","53487,96","+0,1"
"2007-01-25","53910,33","53358,02","54364,04","53433,5","-0,46"
"2007-01-24","54055,67","53670,83","54223,95","53681,53","+0,05"
"2007-01-23","53532,04","53064,26","53679,62","53652,21","+0,15"
"2007-01-22","54456,2","53574","54804,44","53574","-0,88"
"2007-01-19","53662,27","53578,91","54121,05","54048,19","+0,36"
"2007-01-18","52918,81","52918,81","54132,28","53853,2","+2,85"
"2007-01-17","52240,88","52032,28","52433,88","52362,24","+0,32"
"2007-01-16","51941,37","51736,02","52322,15","52195,63","-0,01"
"2007-01-15","51261,29","51261,29","52198,67","52198,67","+2,31"
"2007-01-12","50539,12","50534,15","51075,84","51020,94","+1,06"
"2007-01-11","49854,01","49822,15","50484,05","50484,05","+2,48"
"2007-01-10","49545,9","49195,94","49864,45","49264,41","-1,01"
"2007-01-09","49818,47","49618,33","50120,02","49769,49","+0,52"
"2007-01-08","49151,59","48814,75","49678,91","49512,92","-0,1"
"2007-01-05","50101,04","49459,91","50254,76","49560,26","-1,63"
"2007-01-04","50594,38","50194,64","50594,38","50381,11","-1,64"
"2007-01-03","51163,73","51023,62","51359,03","51220,11","+0,03"
